lr,ins,sr,reg,mean,rmse,std
0.5,2.0,1.4,100.0,0.040610394877059315,0.044015034802799266,0.06318124367473085
0.5,2.0,2.0,0.01,0.040805392846289285,0.041959998386232364,0.061970863801645286
0.5,2.0,2.0,0.1,0.040806671035757115,0.041960562629288926,0.06196959987602082
0.5,2.0,2.0,1.0,0.04080704883632628,0.04196213268509448,0.061961544509727094
0.5,2.0,2.0,10.0,0.04080823156076994,0.04212144836660154,0.062017514066288845
0.5,2.0,2.0,100.0,0.04079089737612698,0.04395993077538316,0.06285990462679478
0.75,0.2,0.2,0.01,0.040481686575953406,0.037038672947534025,0.06153378022999239
0.75,0.2,0.2,0.1,0.04060409654257569,0.03417656542333528,0.05986590514168882
0.75,0.2,0.2,1.0,0.04062040914497992,0.033155111054610345,0.059239323257101476
0.75,0.2,0.2,10.0,0.04061442897215177,0.03269077770963778,0.058673540630249016
0.75,0.2,0.2,100.0,0.04074833889744369,0.032150493368339646,0.057503036257256265
0.75,0.2,0.8,0.01,0.04042809039801861,0.040469018487058174,0.06455535215459432
0.75,0.2,0.8,0.1,0.040411758221769296,0.03886749844450598,0.0634814560140375
0.75,0.2,0.8,1.0,0.040408249284456355,0.03594107186926175,0.061514513427047
0.75,0.2,0.8,10.0,0.04045364143477912,0.034477533662128426,0.060218731366297754
0.75,0.2,0.8,100.0,0.040530709912368325,0.03402485746906495,0.059058388045473025
0.75,0.2,1.4,0.01,0.04040168514894073,0.03769855533622266,0.06022352114405323
0.75,0.2,1.4,0.1,0.04061244298314297,0.037686471743793144,0.060180791509522616
0.75,0.2,1.4,1.0,0.040617780942029454,0.037724368932429315,0.06018508963692972
0.75,0.2,1.4,10.0,0.04061181927616461,0.037650199753110895,0.060060814062359594
0.75,0.2,1.4,100.0,0.04070920100878499,0.037949410283820734,0.059546521267463126
0.75,0.2,2.0,0.01,0.041262945403985105,0.03465115716101055,0.05830821336412454
0.75,0.2,2.0,0.1,0.04122451175848491,0.0346459107907818,0.058302994363558215
0.75,0.2,2.0,1.0,0.04114702927370256,0.03460537689478026,0.05831403574395028
0.75,0.2,2.0,10.0,0.0412660708781591,0.03476646947580843,0.058279074095035445
0.75,0.2,2.0,100.0,0.041359465549163255,0.035773102786831434,0.05777756008050145
0.75,0.8,0.2,0.01,0.04072820947690935,0.040313025601236605,0.06324087233612156
0.75,0.8,0.2,0.1,0.040728861251105176,0.04025966410390639,0.06320074028631989
0.75,0.8,0.2,1.0,0.040728912460945725,0.039838181601904665,0.06289878866466656
0.75,0.8,0.2,10.0,0.04071456501751204,0.03770457255739408,0.061429643346230016
0.75,0.8,0.2,100.0,0.040696389810232395,0.03425315658580589,0.05921117558881512
0.75,0.8,0.8,0.01,0.0407712808646383,0.04182647667385704,0.0640727394009377
0.75,0.8,0.8,0.1,0.04077154422351898,0.04181145958179736,0.06406262815788305
0.75,0.8,0.8,1.0,0.04076296068594075,0.041697554727403524,0.06399213611227048
0.75,0.8,0.8,10.0,0.040706805962578564,0.041120882433511856,0.06367824069987199
0.75,0.8,0.8,100.0,0.04059818560300964,0.03830218258650162,0.06193949299662466
0.75,0.8,1.4,0.01,0.04079813416124072,0.04194615250681335,0.06297099054079289
0.75,0.8,1.4,0.1,0.040796087099148955,0.041944203377091094,0.06297028454339072
0.75,0.8,1.4,1.0,0.04079600911451862,0.041939445682316,0.06296054767820597
0.75,0.8,1.4,10.0,0.04079457004437091,0.04208825209040086,0.06304578234804983
0.75,0.8,1.4,100.0,0.0407805231705447,0.043515690541618954,0.06396326116728906
0.75,0.8,2.0,0.01,0.0410263245918533,0.03799812436873572,0.060218878242131194
0.75,0.8,2.0,0.1,0.04088740122033876,0.037919132293542025,0.06020595191292778
0.75,0.8,2.0,1.0,0.04096528269364153,0.03798605016409776,0.060194351596830176
0.75,0.8,2.0,10.0,0.04097741397176064,0.038111806204108416,0.06019390474418999
