pitch,on,off,length,hand
69,48000,48480,480,1
81,48720,48840,120,1
83,48960,49080,120,1
81,49200,49320,120,1
80,49440,49560,120,1
76,49680,49800,120,1
81,49920,50400,480,1
45,50640,50760,120,1
47,50880,51000,120,1
45,51120,51240,120,1
44,51360,51480,120,1
40,51600,51720,120,1
45,51840,52320,480,1
76,52320,52800,480,1
74,52800,53280,480,1
73,53280,53760,480,1
78,53760,54120,360,1
80,54120,54160,40,1
78,54160,54200,40,1
76,54201,54241,40,1
78,54240,54360,120,1
80,54480,54600,120,1
83,54720,54960,240,1
81,54960,55200,240,1
80,55200,55440,240,1
78,55440,55680,240,1
76,55680,55920,240,1
76,56160,56640,480,1
74,56640,57120,480,1
73,57120,57600,480,1
71,57600,57960,360,1
78,57960,58080,120,1
76,58080,58200,120,1
74,58200,58320,120,1
73,58320,58440,120,1
71,58440,58560,120,1
69,58560,59040,480,1
71,59040,59100,60,1
73,59100,59160,60,1
71,59160,59220,60,1
73,59220,59280,60,1
71,59280,59360,80,1
69,59360,59440,80,1
71,59440,59520,80,1
69,59520,59760,240,1
76,60000,60480,480,1
74,60480,60960,480,1
73,60960,61440,480,1
78,61440,61800,360,1
80,61800,61840,40,1
78,61840,61880,40,1
76,61881,61921,40,1
78,61920,62040,120,1
80,62160,62280,120,1
83,62400,62640,240,1
81,62640,62880,240,1
80,62880,63120,240,1
78,63120,63360,240,1
76,63360,63600,240,1
76,63840,64320,480,1
74,64320,64800,480,1
73,64800,65280,480,1
71,65280,65640,360,1
78,65640,65760,120,1
76,65760,65880,120,1
74,65880,66000,120,1
73,66000,66120,120,1
71,66120,66240,120,1
69,66240,66720,480,1
71,66720,66780,60,1
73,66780,66840,60,1
71,66840,66900,60,1
73,66900,66960,60,1
71,66960,67040,80,1
69,67040,67120,80,1
71,67120,67200,80,1
69,67200,67320,120,1
64,67320,67440,120,1
69,67440,67560,120,1
73,67560,67680,120,1
76,67680,67800,120,1
73,67800,67920,120,1
74,67920,68040,120,1
71,68040,68160,120,1
69,68160,68280,120,1
64,68280,68400,120,1
69,68400,68520,120,1
73,68520,68640,120,1
76,68640,68760,120,1
73,68760,68880,120,1
74,68880,69000,120,1
71,69000,69120,120,1
69,69120,69360,240,1
74,69600,69840,240,1
71,69600,69840,240,1
80,69600,69840,240,1
69,70080,70320,240,1
73,70080,70320,240,1
81,70080,70320,240,1
74,71040,71280,240,1
66,71040,71280,240,1
73,71280,71400,120,1
64,71280,71400,120,1
64,71520,71760,240,1
73,71520,71760,240,1
71,71760,71880,120,1
62,71760,71880,120,1
62,72000,72240,240,1
