leaking rate,input scaling,spectral radius,error
0.1,0.1,0.1,0.0181244996898
0.1,0.1,0.2,0.0181341949303
0.1,0.1,0.30000000000000004,0.0181438760822
0.1,0.1,0.4,0.0181454847517
0.1,0.1,0.5,0.0180983647163
0.1,0.1,0.6,0.0180564690861
0.1,0.1,0.7000000000000001,0.0183252480667
0.1,0.1,0.8,0.018255517215
0.1,0.1,0.9,0.0186263973788
0.1,0.1,1.0,0.0181826391213
0.1,0.1,1.1,0.0180912662395
0.1,0.1,1.2000000000000002,0.0186899159901
0.1,0.1,1.3000000000000003,0.018617019875
0.1,0.1,1.4000000000000001,0.0227990951315
0.1,0.1,1.5000000000000002,0.0233714860014
0.1,0.1,1.6,0.02369077486
0.1,0.1,1.7000000000000002,0.0224802696736
0.1,0.1,1.8000000000000003,0.0221352771295
0.1,0.1,1.9000000000000001,0.0223378158131
0.1,0.2,0.1,0.0181345241382
0.1,0.2,0.2,0.0180420817158
0.1,0.2,0.30000000000000004,0.0182544928091
0.1,0.2,0.4,0.0181524525947
0.1,0.2,0.5,0.0182786475073
0.1,0.2,0.6,0.0187087036351
0.1,0.2,0.7000000000000001,0.0224190716722
0.1,0.2,0.8,0.0189856852792
0.1,0.2,0.9,0.0274284985052
0.1,0.2,1.0,0.0195198390701
0.1,0.2,1.1,0.019079881527
0.1,0.2,1.2000000000000002,0.883546962218
0.1,0.2,1.3000000000000003,0.0399261085957
0.1,0.2,1.4000000000000001,0.0234231840056
0.1,0.2,1.5000000000000002,0.0263147863496
0.1,0.2,1.6,0.0232307985053
0.1,0.2,1.7000000000000002,0.0228779965341
0.1,0.2,1.8000000000000003,0.0221416428541
0.1,0.2,1.9000000000000001,0.022198476952
0.1,0.30000000000000004,0.1,0.0180936137281
0.1,0.30000000000000004,0.2,0.0180559445238
0.1,0.30000000000000004,0.30000000000000004,0.018000702275
0.1,0.30000000000000004,0.4,0.0180576356765
0.1,0.30000000000000004,0.5,0.0194848049113
0.1,0.30000000000000004,0.6,0.0254516098182
0.1,0.30000000000000004,0.7000000000000001,0.0260275122149
0.1,0.30000000000000004,0.8,1.22445215408
0.1,0.30000000000000004,0.9,1.43374748494
0.1,0.30000000000000004,1.0,0.442346012896
0.1,0.30000000000000004,1.1,0.0194545940421
0.1,0.30000000000000004,1.2000000000000002,0.0667089681887
0.1,0.30000000000000004,1.3000000000000003,0.248295970504
0.1,0.30000000000000004,1.4000000000000001,0.0285525063926
0.1,0.30000000000000004,1.5000000000000002,0.026205947468
0.1,0.30000000000000004,1.6,0.0231681133802
0.1,0.30000000000000004,1.7000000000000002,0.0230987844706
0.1,0.30000000000000004,1.8000000000000003,0.0231154475632
0.1,0.30000000000000004,1.9000000000000001,0.0231382041833
0.1,0.4,0.1,0.0181569740408
0.1,0.4,0.2,0.0184823944751
0.1,0.4,0.30000000000000004,0.0208841367131
0.1,0.4,0.4,0.0226290913316
0.1,0.4,0.5,0.0220418415923
0.1,0.4,0.6,0.039771243488
0.1,0.4,0.7000000000000001,5.53007933453
0.1,0.4,0.8,4.04055902971
0.1,0.4,0.9,3.78204265703
0.1,0.4,1.0,1.6565739066
0.1,0.4,1.1,0.541236717848
0.1,0.4,1.2000000000000002,0.878031679287
